City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
97,Goderich,43.7501,-81.7165,31.91,100,100,11.5,CA,2023-01-25 23:50:25
98,Luderitz,-26.6481,15.1594,63.72,65,0,19.33,NA,2023-01-25 23:49:13
99,Pevek,69.7008,170.3133,-17.28,74,2,1.54,RU,2023-01-25 23:53:48
100,Bugene,-1.5911,31.1403,57.25,84,54,3.31,TZ,2023-01-25 23:53:48
101,Tuatapere,-46.1333,167.6833,75.29,38,39,4.94,NZ,2023-01-25 23:53:48
102,Walvis Bay,-22.9575,14.5053,61.09,82,20,6.49,NA,2023-01-25 23:53:06
103,Swanton,41.5887,-83.8911,34.2,93,100,11.5,US,2023-01-25 23:53:49
104,Maceio,-9.6658,-35.7353,76.44,83,0,4.61,BR,2023-01-25 23:49:07
105,Hovd,48.0056,91.6419,-6.29,68,2,6.15,MN,2023-01-25 23:53:49
106,Margate,51.3813,1.3862,43.9,95,100,11.01,GB,2023-01-25 23:53:50
107,Bolgar,54.95,49.0667,13.33,89,88,11.01,RU,2023-01-25 23:53:50
108,Tiksi,71.6872,128.8694,-32.37,97,100,4.59,RU,2023-01-25 23:53:50
109,Asau,46.4333,26.4,27.52,95,80,1.52,RO,2023-01-25 23:53:51
110,Nenjiang,49.1833,125.2167,-34.96,99,79,2.39,CN,2023-01-25 23:53:51
111,Ormara,25.2088,64.6357,58.84,33,0,14.45,PK,2023-01-25 23:53:51
112,Monsummano Terme,43.8704,10.8123,46.15,65,97,1.99,IT,2023-01-25 23:53:52
113,Mogadouro,41.3403,-6.7119,31.26,76,1,2.68,PT,2023-01-25 23:53:52
114,Kemin,42.7846,75.6892,18.86,75,100,3.53,KG,2023-01-25 23:53:52
115,Guerrero Negro,27.9769,-114.0611,66.96,26,84,6.24,MX,2023-01-25 23:53:53
116,Fortuna,40.5982,-124.1573,59.94,70,0,6.91,US,2023-01-25 23:53:53
117,Broome,42.2506,-75.833,37.02,88,100,13.0,US,2023-01-25 23:53:53
118,Sistranda,63.7256,8.834,40.96,65,97,22.95,NO,2023-01-25 23:53:54
119,Kathmandu,27.7167,85.3167,50.85,78,40,3.44,NP,2023-01-25 23:51:24
120,Sao Filipe,14.8961,-24.4956,70.57,69,100,5.86,CV,2023-01-25 23:53:54
121,Narsaq,60.9167,-46.05,32.79,99,100,8.01,GL,2023-01-25 23:53:54
122,Cape Town,-33.9258,18.4232,64.9,74,0,11.99,ZA,2023-01-25 23:53:55
123,Morant Bay,17.8815,-76.4093,82.02,80,99,12.55,JM,2023-01-25 23:53:55
124,Mandalgovi,45.7625,106.2708,-6.74,84,64,7.67,MN,2023-01-25 23:53:55
125,Kapit,2.0167,112.9333,73.53,99,100,1.36,MY,2023-01-25 23:53:56
126,Urumqi,43.801,87.6005,-6.65,92,1,2.24,CN,2023-01-25 23:53:56
127,Yanliang,34.6592,109.2292,23.99,33,93,1.32,CN,2023-01-25 23:53:56
