,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
339,Itaituba,BR,73.04,overcast clouds,-4.2761,-55.9836,TG Hotel
346,Linhares,BR,72.57,clear sky,-19.3911,-40.0722,Days Inn Linhares
349,Nueva Gerona,CU,75.9,scattered clouds,21.8833,-82.8,Hotel Bamboo
352,Mollendo,PE,72.55,overcast clouds,-17.0231,-72.0147,Hostal California
354,Cockburn Town,TC,77.22,few clouds,21.4612,-71.1419,The Salt Raker Inn
357,Uba,BR,71.85,overcast clouds,-21.12,-42.9428,Hotel San Remo
358,Ta Khmau,KH,73.45,scattered clouds,11.4833,104.95,Mangala Village
368,Gizo,SB,84.02,light rain,-8.103,156.8419,Gizo Hotel
369,Boueni,YT,80.58,clear sky,-12.9025,45.0761,La Case Robinson
373,Durban,ZA,76.12,light rain,-29.8579,31.0292,Tudor
375,Maumere,ID,84.54,broken clouds,-8.6199,122.2111,Bogor
381,Almeirim,BR,74.5,overcast clouds,-1.5233,-52.5817,Kapejar Hotel
385,San Vicente,AR,76.59,overcast clouds,-26.6167,-54.1333,Los Lapachos
391,Acapulco,MX,82.22,clear sky,16.8634,-99.8901,Hotel del Valle
404,Saint-Georges,GD,74.88,broken clouds,12.0564,-61.7485,Deyna's City Inn
408,San Andres,CO,77.02,light rain,12.5847,-81.7006,Hotel Decameron Isleño
410,Langsa,ID,76.8,overcast clouds,4.4683,97.9683,Harmoni Hotel
411,Daru,PG,87.89,overcast clouds,-9.0763,143.2092,Kuki
417,Grand Gaube,MU,76.37,scattered clouds,-20.0064,57.6608,Coco Villa
419,Upington,ZA,71.98,clear sky,-28.4478,21.2561,Die Eiland Holiday Ressort
420,Wellington,NZ,73.06,few clouds,-41.2866,174.7756,Travelodge
422,Huarmey,PE,71.44,overcast clouds,-10.0681,-78.1522,Hostal Santa Rosa
423,Marawi,PH,70.75,light rain,7.9986,124.2928,Marawi Resort Hotel
424,Mora,CM,75.43,broken clouds,11.0461,14.1401,Hôtel Podoko
439,Meulaboh,ID,77.92,overcast clouds,4.1363,96.1285,Hotel Meuligou
443,Soubre,CI,74.3,overcast clouds,5.7856,-6.6083,Hôtel Campement
448,Morondava,MG,81.05,light rain,-20.2833,44.2833,Hotel Sharon Menabe
450,Bowen,AU,83.75,scattered clouds,-20.0167,148.2333,Whitsunday Sands Resort
452,Rio Brilhante,BR,73.42,few clouds,-21.8019,-54.5464,Gold Hotel
458,Mount Isa,AU,85.77,light rain,-20.7333,139.5,Ibis Styles
464,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,The Adventures Inn
474,Byron Bay,AU,86.94,scattered clouds,-28.65,153.6167,Lord Byron Resort
477,Callaguip,PH,73.42,overcast clouds,18.0714,120.4867,Paoay Bed & Breakfast
479,Pochutla,MX,82.22,clear sky,15.7432,-96.4661,Posada San Jose
480,Nova Olimpia,BR,70.03,scattered clouds,-14.7972,-57.2881,Olímpia Hotel
482,Marica,BR,76.91,overcast clouds,-22.9194,-42.8186,Pousada Vila Flor
486,Kankon,IN,70.14,scattered clouds,15.0167,74.0167,Dreamcatcher
492,Pedasi,PA,74.07,overcast clouds,7.5333,-80.0333,Dim's Hostal
498,Sao Gabriel Da Cachoeira,BR,72.7,overcast clouds,-0.1303,-67.0892,Casa de Hóspedes do CFRN/5ºBIS
502,Vieques,PR,73.42,overcast clouds,18.425,-65.8329,Hyatt Regency Grand Reserve Puerto Rico
504,Touros,BR,79.11,clear sky,-5.1989,-35.4608,Pousada Atlântico
506,Hualmay,PE,71.94,overcast clouds,-11.0964,-77.6139,Hotel Mi Choacan
508,Pontianak,ID,73.38,light rain,-0.0333,109.3333,Golden Tulip Hotel
513,Padang,ID,75.25,moderate rain,-0.9492,100.3543,losmen Surya
516,Atambua,ID,82.51,overcast clouds,-9.1061,124.8925,Hotel Matahari
517,Mahibadhoo,MV,79.84,scattered clouds,3.7833,72.9667,Coral View Inn
521,Maragogi,BR,80.98,overcast clouds,-9.0122,-35.2225,Pousada Mariluz
526,Kununurra,AU,87.78,scattered clouds,-15.7667,128.7333,Kununurra Country Club Resort
530,Kathu,TH,80.42,overcast clouds,7.9178,98.3332,Tinidee Hotel
531,Ilhabela,BR,76.33,overcast clouds,-23.7781,-45.3581,Vila Kebaya
534,Sibu,MY,79.11,few clouds,2.3,111.8167,The Paramount Hotel
539,Te Anau,NZ,79.05,clear sky,-45.4167,167.7167,Lakeside Motels & Apartments
545,Quatre Cocos,MU,76.08,broken clouds,-20.2078,57.7625,Horisun
546,Neuquen,AR,84.09,clear sky,-38.9516,-68.0591,Hotel Argentina 307
547,Sinnamary,GF,74.71,broken clouds,5.3833,-52.95,Hôtel du fleuve
548,Kuching,MY,82.26,scattered clouds,1.55,110.3333,Hotel Samudera
550,Weligama,LK,73.4,overcast clouds,5.9667,80.4167,Basecamp
559,Port-Gentil,GA,80.69,clear sky,-0.7193,8.7815,Tara-Mé
565,Inongo,CD,73.26,overcast clouds,-1.95,18.2667,Chez LELE IYOLO
567,Hervey Bay,AU,81.14,clear sky,-25.2986,152.8535,Hervey Bay Hotel
573,Buchanan,LR,77.92,overcast clouds,5.8808,-10.0467,Phillipmena's Guesthouse
576,Mtwara,TZ,78.03,few clouds,-10.2667,40.1833,Newala Guest House
581,Port Macquarie,AU,84.88,overcast clouds,-31.4333,152.9167,The Observatory
582,Parana,AR,82.56,broken clouds,-31.732,-60.5238,Grand Hotel Alvear
585,Puerto Cabello,VE,74.77,broken clouds,10.4731,-68.0125,Pequeña Vegas
591,Bangassou,CF,71.65,broken clouds,4.7413,22.8184,Hotel De Tourisme
600,Kampot,KH,75.25,overcast clouds,10.6167,104.1833,Sambor Sambat Guesthouse
608,Honiara,SB,82.81,overcast clouds,-9.4333,159.95,King Solomon Hotel
612,Mareeba,AU,86.49,scattered clouds,-17.0,145.4333,The Gateway Hotel
628,Vandalur,IN,74.98,mist,12.8928,80.0808,Hotel SRR Grand
644,Miri,MY,82.54,few clouds,4.4148,114.0089,Kenyalang Suites Miri
646,Saint-Paul,RE,78.91,overcast clouds,-21.0096,55.2707,Hôtel d'application
647,Port Shepstone,ZA,71.82,light rain,-30.7414,30.455,The Spot Backpackers'
648,Takoradi,GH,79.09,overcast clouds,4.8845,-1.7554,Hillcrest
651,Cap Malheureux,MU,76.46,scattered clouds,-19.9842,57.6142,Cape Garden
652,Lima,PE,76.89,clear sky,-12.0432,-77.0282,Hotel Peach Garden
653,Sokoni,TZ,78.66,broken clouds,-6.4333,39.55,La Madrugada Beach Hotel
660,Samarinda,ID,79.41,overcast clouds,-0.5,117.15,Hotel Bumi Senyiur
665,Yurimaguas,PE,76.77,scattered clouds,-5.9,-76.0833,Hotel Rio Huallaga
